name,name_NYUcoor,brain_data,coordinates,T1_X,T1_Y,T1_Z,MNI_X,MNI_Y,MNI_Z,type,reg1,reg1_percent,reg2,reg2_percent,reg3,reg3_percent,reg4,reg4_percent
LOF1,LOF01,0,0,-14.336555,57.286133,-12.493476,-12,50,-27,S,lateralorbitofrontal,100,,0,,0,,0
LOF2,LOF02,0,0,-21.927767,51.246941,-8.879143,-20,45,-25,S,lateralorbitofrontal,100,,0,,0,,0
LOF3,LOF03,0,0,-29.554525,47.526695,-4.799411,-29.6,41.2,-23.2,S,lateralorbitofrontal,100,,0,,0,,0
LOF4,LOF04,0,0,-38.783928,43.995022,-4.17921,-39.333333,36.666667,-22,S,lateralorbitofrontal,100,,0,,0,,0
LAT1,LAT01,0,0,-17.487295,11.567053,-22.406458,-17,3,-35,S,entorhinal,100,,0,,0,,0
LAT2,LAT02,0,0,-22.558151,19.457226,-26.053173,-21.2,11.2,-40.4,S,entorhinal,100,,0,,0,,0
LAT3,LAT03,0,0,-29.292988,25.187662,-28.807943,-29.2,16.4,-42.8,S,temporalpole,100,,0,,0,,0
LAT4,LAT04,0,0,-35.721004,26.787727,-25.197153,-35.333333,18.666667,-42,S,temporalpole,100,,0,,0,,0
LMT1,LMT01,0,0,-14.889372,-2.788189,-19.689981,-17,-10,-29,S,entorhinal,100,,0,,0,,0
LMT2,LMT02,0,0,-20.933899,1.836354,-26.622576,-22.666667,-7.333333,-39,S,entorhinal,100,,0,,0,,0
LMT3,LMT03,0,0,-28.763857,4.955882,-33.429298,-30.666667,-5.333333,-47,S,fusiform,100,,0,,0,,0
LMT4,LMT04,0,0,-38.977642,11.170069,-34.552921,-41,2,-50,S,inferiortemporal,100,,0,,0,,0
LPT1,LPT01,0,0,-38.780807,-50.416073,-17.110991,-46.666667,-62,-23.333333,S,fusiform,100,,0,,0,,0
LPT2,LPT02,0,0,-43.702564,-43.762375,-20.358259,-52.5,-55,-27,S,fusiform,100,,0,,0,,0
LPT3,LPT03,0,0,-50.677639,-35.94804,-22.798487,-59.142857,-44.857143,-28.857143,S,fusiform,100,,0,,0,,0
LPT4,LPT04,0,0,-56.433384,-28.92185,-20.914579,-64,-37,-27,S,inferiortemporal,100,,0,,0,,0
LO1,LO01,0,0,-13.438099,-92.106651,14.661704,-19.142857,-101.142857,19.142857,S,lateraloccipital,100,,0,,0,,0
LO2,LO02,0,0,-24.176001,-89.666618,12.041628,-29.333333,-97.333333,17.333333,S,lateraloccipital,100,,0,,0,,0
LBG3,LO03,0,0,-32.305153,-84.800591,10.971936,-38,-93,14,S,inferiorparietal,100,,0,,0,,0
LBG4,LO04,0,0,-39.748264,-78.162735,8.994684,-45,-86,11,S,inferiorparietal,100,,0,,0,,0
LBG5,LO05,0,0,-47.060787,-69.586723,7.204205,-52.8,-77.6,8.8,S,inferiorparietal,100,,0,,0,,0
LBG6,LO06,0,0,-50.891701,-60.701366,4.100751,-59.6,-69.2,5.2,S,cMTG,100,,0,,0,,0
LO7,LO07,0,0,-56.564281,-53.20937,2.168056,-64,-61,1,S,cMTG,100,,0,,0,,0
LO8,LO08,0,0,-60.573391,-44.954315,-1.830201,-68,-52,-5,S,cMTG,100,,0,,0,,0
LP1,LP01,0,0,-10.851789,-90.236557,24.723177,-16,-97.333333,28.666667,S,lateraloccipital,100,,0,,0,,0
LP2,LP02,0,0,-21.153545,-89.100685,22.447783,-26,-96,27,S,lateraloccipital,100,,0,,0,,0
LBG3,LP03,0,0,-31.208782,-82.945503,21.055387,-35.5,-90,25.5,S,lateraloccipital,100,,0,,0,,0
LBG4,LP04,0,0,-38.873325,-77.314804,19.936365,-44,-85,23,S,inferiorparietal,100,,0,,0,,0
LP5,LP05,0,0,-46.005386,-69.714249,16.99679,-53,-77,19,S,inferiorparietal,100,,0,,0,,0
LP6,LP06,0,0,-51.094303,-60.631557,15.09504,-59.333333,-68,16.666667,S,inferiorparietal,100,,0,,0,,0
LP7,LP07,0,0,-55.827324,-52.196083,13.050212,-64,-60,13,S,cMTG,100,,0,,0,,0
LP8,LP08,0,0,-60.236328,-43.631756,9.982659,-70,-50.666667,7.333333,S,cMTG,100,,0,,0,,0
LF1,LF01,0,0,-13.40236,45.20042,61.119888,-15.2,44.4,56.8,S,superiorfrontal,100,,0,,0,,0
LF2,LF02,0,0,-24.199026,42.524464,59.14439,-26,41,53,S,superiorfrontal,100,,0,,0,,0
LBG3,LF03,0,0,-32.827251,40.227245,54.771366,-35,38.666667,47,S,caudalmiddlefrontal,100,,0,,0,,0
LBG4,LF04,0,0,-40.80101,38.417301,48.829151,-43.333333,37,41.333333,S,caudalmiddlefrontal,100,,0,,0,,0
LF5,LF05,0,0,-47.044147,37.551617,41.889843,-51,36,34,S,rostralmiddlefrontal,100,,0,,0,,0
LF6,LF06,0,0,-51.950481,34.248039,34.287186,-56.666667,32.666667,27,S,rostralmiddlefrontal,100,,0,,0,,0
RO1,RO01,0,0,31.670681,-84.02504,5.19226,29.333333,-99,10.666667,S,lateraloccipital,100,,0,,0,,0
RO2,RO02,0,0,38.624912,-75.97171,4.243532,39,-91,9,S,lateraloccipital,100,,0,,0,,0
LBG3,RO03,0,0,43.978661,-68.459679,3.020989,46,-84,7,S,lateraloccipital,100,,0,,0,,0
LBG4,RO04,0,0,49.498463,-60.18634,2.038167,52.5,-76.5,5.5,S,lateraloccipital,100,,0,,0,,0
LBG5,RO05,0,0,54.442078,-51.086143,1.825043,59.2,-67.2,4.4,S,cMTG,100,,0,,0,,0
LBG6,RO06,0,0,58.009193,-41.605946,0.889947,64,-58,3,S,cMTG,100,,0,,0,,0
RO7,RO07,0,0,60.541023,-32.804218,1.324002,68,-48,3,S,cMTG,100,,0,,0,,0
RO8,RO08,0,0,62.421959,-22.546185,1.875116,72,-38,2,S,cSTG,100,,0,,0,,0
RPT1,RPT01,0,0,17.268787,7.802229,-30.84676,19,-4,-42,S,fusiform,100,,0,,0,,0
RPT2,RPT02,0,0,30.105927,3.705525,-33.930771,35,-10,-43,S,fusiform,100,,0,,0,,0
RPT3,RPT03,0,0,41.714851,0.328702,-31.114326,46.857143,-13.142857,-38.857143,S,inferiortemporal,100,,0,,0,,0
RPT4,RPT04,0,0,50.826962,-3.9146,-27.438894,56,-18,-33,S,inferiortemporal,100,,0,,0,,0
RMT1,RMT01,0,0,12.583817,14.951118,-25.069082,14,4,-37,S,entorhinal,100,,0,,0,,0
RMT2,RMT02,0,0,18.912384,14.097514,-32.341396,19.5,3,-44.5,S,fusiform,100,,0,,0,,0
RMT3,RMT03,0,0,33.224667,13.716334,-36.218273,37.333333,-0.666667,-45,S,inferiortemporal,100,,0,,0,,0
RMT4,RMT04,0,0,43.317444,13.490468,-31.775539,51,-1,-43,S,inferiortemporal,100,,0,,0,,0
RAT2,RAT02,0,0,17.484602,24.073168,-29.663858,18.5,14.5,-43,S,entorhinal,19.4,fusiform,48.87,temporalpole,31.73,,0
RAT3,RAT03,0,0,20.554379,33.723476,-25.010677,23.333333,24,-38.666667,S,temporalpole,100,,0,,0,,0
RAT4,RAT04,0,0,26.630091,38.762863,-19.460724,31,29.333333,-33.333333,S,temporalpole,100,,0,,0,,0
RAT5,RAT05,0,0,35.205059,38.799583,-13.138474,43,28,-26,S,temporalpole,100,,0,,0,,0
RAT6,RAT06,0,0,43.040504,35.330952,-7.045524,53,24,-19,S,rSTG,100,,0,,0,,0
ROF1,ROF01,0,0,15.668303,58.008503,52.321209,18.857143,54.857143,43.142857,S,superiorfrontal,100,,0,,0,,0
ROF2,ROF02,0,0,25.249149,54.328697,48.994202,29.333333,50,40.666667,S,superiorfrontal,100,,0,,0,,0
ROF3,ROF03,0,0,32.714203,49.77108,45.090775,37,44,39,S,rostralmiddlefrontal,100,,0,,0,,0
ROF4,ROF04,0,0,40.165501,44.58493,40.253235,47.2,39.2,35.6,S,rostralmiddlefrontal,100,,0,,0,,0
LBG5,ROF05,0,0,46.36182,37.115627,36.182579,53,30.5,33,S,rostralmiddlefrontal,100,,0,,0,,0
LBG6,ROF06,0,0,48.523788,30.395357,29.369637,60,23,27,S,precentral,100,,0,,0,,0
